time,temperature,humidity,pressure
2014-02-13T06:20:00,3,93,989
2014-02-13T13:50:00,7,66,989
2014-02-13T06:00:00,2,91,990
2014-02-13T03:00:00,3,84,992
2014-02-13T13:00:00,6,62,990
2014-02-13T18:50:00,4,75,991
2014-02-13T13:20:00,6,70,990
2014-02-13T15:00:00,6,56,990
2014-02-13T08:50:00,4,87,989
2014-02-13T21:50:00,4,75,993
2014-02-13T08:00:00,3,88,990
2014-02-13T07:50:00,3,93,989
2014-02-13T08:20:00,4,87,989
2014-02-13T21:20:00,3,81,993
2014-02-13T11:50:00,6,76,990
2014-02-13T11:20:00,6,76,990
2014-02-13T17:50:00,5,70,991
2014-02-13T11:00:00,6,69,990
2014-02-13T05:50:00,2,93,989
2014-02-13T20:50:00,3,81,993
2014-02-13T20:20:00,4,75,992
2014-02-13T16:00:00,6,55,990
2014-02-13T23:50:00,2,87,994
2014-02-13T21:00:00,3,73,993
2014-02-13T07:20:00,3,93,989
2014-02-13T03:20:00,3,87,991
2014-02-13T07:00:00,3,86,990
2014-02-13T15:50:00,6,66,990
2014-02-13T03:50:00,2,93,990
2014-02-13T04:00:00,2,87,991
2014-02-13T12:00:00,6,66,990
2014-02-13T04:20:00,2,93,990
2014-02-13T12:20:00,6,76,990
2014-02-13T12:50:00,6,76,989
2014-02-13T22:50:00,3,81,994
2014-02-13T09:00:00,4,85,990
2014-02-13T09:20:00,4,87,989
2014-02-13T09:50:00,4,87,989
2014-02-13T18:00:00,5,62,992
2014-02-13T05:20:00,2,93,990
2014-02-13T15:20:00,6,70,989
2014-02-13T00:50:00,4,75,993
2014-02-13T14:50:00,7,66,989
2014-02-13T00:00:00,4,66,995
2014-02-13T00:20:00,4,75,994
2014-02-13T06:50:00,3,93,989
2014-02-13T22:00:00,4,72,994
2014-02-13T18:20:00,5,70,991
2014-02-13T02:50:00,3,87,991
2014-02-13T02:20:00,3,87,992
2014-02-13T04:50:00,2,93,990
2014-02-13T02:00:00,3,73,993
2014-02-13T23:00:00,3,71,994
2014-02-13T16:50:00,5,70,990
2014-02-13T19:50:00,4,75,992
2014-02-13T19:20:00,4,75,992
2014-02-13T05:00:00,2,89,990
2014-02-13T19:00:00,4,67,992
2014-02-13T23:20:00,3,81,994
2014-02-13T14:20:00,7,66,989
2014-02-13T10:20:00,5,81,989
2014-02-13T10:00:00,4,82,990
2014-02-13T10:50:00,5,81,989
2014-02-13T17:00:00,5,60,991
2014-02-13T01:00:00,4,65,994
2014-02-13T17:20:00,5,70,991
2014-02-13T01:20:00,4,75,993
2014-02-13T01:50:00,4,75,993
2014-02-13T22:20:00,3,81,993
2014-02-13T16:20:00,6,66,990
2014-02-14T04:50:00,1,87,997
2014-02-14T09:50:00,4,87,1000
2014-02-14T12:20:00,6,81,1001
2014-02-14T09:00:00,3,89,1000
2014-02-14T16:20:00,6,76,1002
2014-02-14T09:20:00,3,93,999
2014-02-14T19:00:00,4,76,1003
2014-02-14T07:20:00,2,93,998
2014-02-14T06:50:00,2,93,998
2014-02-14T13:20:00,5,87,1002
2014-02-14T10:00:00,4,82,1000
2014-02-14T21:50:00,4,81,1001
2014-02-14T07:50:00,2,93,998
2014-02-14T19:20:00,3,87,1002
2014-02-14T14:50:00,6,76,1002
2014-02-14T14:20:00,6,81,1002
2014-02-14T04:00:00,1,86,997
2014-02-14T14:00:00,6,72,1002
2014-02-14T23:00:00,3,76,1000
2014-02-14T22:20:00,4,81,1000
2014-02-14T13:00:00,6,72,1002
2014-02-14T06:00:00,2,89,998
2014-02-14T19:50:00,4,81,1003
2014-02-14T08:00:00,2,87,999
2014-02-14T08:20:00,2,93,999
2014-02-14T08:50:00,3,93,999
2014-02-14T11:20:00,5,81,1001
2014-02-14T20:50:00,3,87,1003
2014-02-14T05:00:00,1,86,997
2014-02-14T15:20:00,6,76,1002
2014-02-14T05:20:00,1,93,997
2014-02-14T15:00:00,6,67,1002
2014-02-14T07:00:00,2,91,998
2014-02-14T15:50:00,6,76,1002
2014-02-14T21:20:00,3,87,1002
2014-02-14T17:00:00,5,67,1003
2014-02-14T22:50:00,3,87,1000
2014-02-14T17:20:00,5,76,1003
2014-02-14T17:50:00,5,76,1003
2014-02-14T04:20:00,1,93,996
2014-02-14T01:50:00,1,93,995
2014-02-14T22:00:00,4,77,1001
2014-02-14T01:00:00,2,82,995
2014-02-14T06:20:00,2,93,997
2014-02-14T01:20:00,1,93,995
2014-02-14T20:20:00,4,81,1003
2014-02-14T02:20:00,1,93,995
2014-02-14T02:00:00,1,86,996
2014-02-14T16:00:00,6,70,1003
2014-02-14T02:50:00,1,93,996
2014-02-14T10:50:00,5,81,1001
2014-02-14T18:20:00,4,81,1002
2014-02-14T18:00:00,4,74,1003
2014-02-14T03:50:00,1,93,996
2014-02-14T03:20:00,1,87,996
2014-02-14T23:20:00,3,87,1000
2014-02-14T03:00:00,1,84,996
2014-02-14T12:50:00,6,76,1002
2014-02-14T16:50:00,5,81,1003
2014-02-14T13:50:00,6,81,1002
2014-02-14T11:50:00,5,87,1001
2014-02-14T23:50:00,3,87,999
2014-02-14T12:00:00,6,75,1002
2014-02-14T20:00:00,4,79,1003
2014-02-14T00:00:00,2,76,994
2014-02-14T00:20:00,2,81,994
2014-02-14T00:50:00,1,87,994
2014-02-14T05:50:00,2,93,997
2014-02-14T18:50:00,4,81,1002
2014-02-15T06:50:00,4,87,989
2014-02-15T10:20:00,6,81,988
2014-02-15T06:00:00,4,80,990
2014-02-15T06:20:00,4,87,989
2014-02-15T01:00:00,3,74,998
2014-02-15T08:20:00,4,87,988
2014-02-15T08:00:00,4,77,989
2014-02-15T13:50:00,7,81,988
2014-02-15T13:20:00,7,81,988
2014-02-15T01:50:00,4,75,996
2014-02-15T13:00:00,7,73,988
2014-02-15T04:50:00,4,81,990
2014-02-15T04:20:00,4,81,991
2014-02-15T02:50:00,4,75,994
2014-02-15T04:00:00,4,75,992
2014-02-15T14:00:00,7,70,988
2014-02-15T09:00:00,4,78,988
2014-02-15T03:00:00,4,68,995
2014-02-15T16:00:00,9,49,988
2014-02-15T14:50:00,9,62,988
2014-02-15T12:50:00,7,81,988
2014-02-15T23:00:00,7,61,988
2014-02-15T12:20:00,7,81,988
2014-02-15T10:00:00,6,74,988
2014-02-15T20:20:00,8,62,988
2014-02-15T00:50:00,3,81,997
2014-02-15T10:50:00,6,81,988
2014-02-15T15:50:00,9,62,988
2014-02-15T08:50:00,4,87,988
2014-02-15T21:50:00,8,62,988
2014-02-15T07:00:00,4,80,989
2014-02-15T23:50:00,7,71,987
2014-02-15T07:20:00,4,87,988
2014-02-15T07:50:00,4,87,988
2014-02-15T14:20:00,8,71,988
2014-02-15T22:20:00,8,66,988
2014-02-15T11:50:00,7,76,988
2014-02-15T22:00:00,8,53,988
2014-02-15T17:50:00,8,66,988
2014-02-15T11:00:00,6,72,988
2014-02-15T16:20:00,9,62,988
2014-02-15T11:20:00,6,81,988
2014-02-15T00:20:00,3,87,999
2014-02-15T00:00:00,3,76,
2014-02-15T19:00:00,8,48,988
2014-02-15T21:00:00,8,50,988
2014-02-15T03:50:00,4,81,992
2014-02-15T17:00:00,8,51,988
2014-02-15T22:50:00,7,71,987
2014-02-15T18:00:00,8,53,988
2014-02-15T18:20:00,8,62,988
2014-02-15T18:50:00,8,62,988
2014-02-15T01:20:00,4,75,996
2014-02-15T15:00:00,9,47,988
2014-02-15T05:20:00,4,87,990
2014-02-15T15:20:00,9,58,988
2014-02-15T05:00:00,4,74,990
2014-02-15T20:50:00,8,62,988
2014-02-15T05:50:00,4,87,990
2014-02-15T02:00:00,4,70,996
2014-02-15T02:20:00,4,75,995
2014-02-15T12:00:00,7,68,989
2014-02-15T21:20:00,8,62,988
2014-02-15T17:20:00,8,66,988
2014-02-15T16:50:00,9,62,988
2014-02-15T23:20:00,7,71,987
2014-02-15T03:20:00,4,81,993
2014-02-16T03:00:00,5,79,987
2014-02-16T15:00:00,5,78,994
2014-02-16T03:20:00,6,81,987
2014-02-16T15:20:00,5,81,994
2014-02-16T15:50:00,5,81,995
2014-02-16T21:20:00,4,81,999
2014-02-16T20:00:00,5,73,999
2014-02-16T18:00:00,5,78,997
2014-02-16T18:20:00,5,81,997
2014-02-16T01:50:00,6,76,986
2014-02-16T22:20:00,4,81,1000
2014-02-16T02:20:00,6,81,986
2014-02-16T01:20:00,7,71,986
2014-02-16T14:50:00,5,87,993
2014-02-16T01:00:00,7,64,987
2014-02-16T11:00:00,6,70,992
2014-02-16T14:00:00,7,60,993
2014-02-16T14:20:00,7,71,993
2014-02-16T12:50:00,7,71,993
2014-02-16T20:50:00,4,81,999
2014-02-16T08:20:00,5,81,990
2014-02-16T22:00:00,4,73,1000
2014-02-16T05:50:00,5,81,989
2014-02-16T05:20:00,5,87,989
2014-02-16T03:50:00,6,81,987
2014-02-16T05:00:00,5,76,989
2014-02-16T11:50:00,7,71,992
2014-02-16T23:00:00,4,73,1001
2014-02-16T02:00:00,6,64,987
2014-02-16T22:50:00,4,75,1000
2014-02-16T00:20:00,7,71,987
2014-02-16T17:00:00,4,77,996
2014-02-16T21:00:00,4,70,1000
2014-02-16T04:20:00,6,81,988
2014-02-16T04:00:00,6,78,988
2014-02-16T13:50:00,7,71,993
2014-02-16T04:50:00,6,81,988
2014-02-16T19:00:00,5,73,998
2014-02-16T10:00:00,6,67,992
2014-02-16T06:00:00,5,79,990
2014-02-16T10:20:00,6,76,991
2014-02-16T06:20:00,5,87,989
2014-02-16T06:50:00,6,81,989
2014-02-16T18:50:00,5,81,997
2014-02-16T11:20:00,6,76,992
2014-02-16T12:20:00,7,71,992
2014-02-16T07:50:00,5,81,991
2014-02-16T12:00:00,6,66,993
2014-02-16T23:50:00,3,81,1001
2014-02-16T07:00:00,6,72,990
2014-02-16T07:20:00,6,76,990
2014-02-16T00:00:00,6,68,988
2014-02-16T09:20:00,6,76,991
2014-02-16T23:20:00,3,81,1001
2014-02-16T08:50:00,5,81,991
2014-02-16T09:00:00,5,71,991
2014-02-16T19:50:00,5,76,998
2014-02-16T20:20:00,4,81,999
2014-02-16T16:50:00,4,87,996
2014-02-16T16:20:00,5,81,995
2014-02-16T10:50:00,6,76,991
2014-02-16T16:00:00,5,77,996
2014-02-16T21:50:00,4,81,1000
2014-02-16T02:50:00,5,87,987
2014-02-16T13:00:00,6,72,993
2014-02-16T00:50:00,7,71,987
2014-02-16T19:20:00,5,81,998
2014-02-16T13:20:00,7,71,992
2014-02-16T17:20:00,4,87,996
2014-02-16T09:50:00,6,76,991
2014-02-16T17:50:00,5,81,996
2014-02-16T08:00:00,4,79,991
2014-02-17T01:00:00,4,77,1002
2014-02-17T11:50:00,7,66,1008
2014-02-17T22:00:00,2,83,1014
2014-02-17T23:50:00,1,93,1014
2014-02-17T21:00:00,2,78,1013
2014-02-17T02:50:00,3,81,1002
2014-02-17T19:50:00,3,75,1012
2014-02-17T00:00:00,3,74,1002
2014-02-17T16:00:00,8,40,1010
2014-02-17T00:20:00,3,81,1001
2014-02-17T16:20:00,7,53,1010
2014-02-17T16:50:00,7,53,1010
2014-02-17T13:50:00,7,61,1009
2014-02-17T18:20:00,4,70,1011
2014-02-17T12:50:00,7,66,1008
2014-02-17T22:20:00,1,93,1013
2014-02-17T22:50:00,1,87,1013
2014-02-17T01:20:00,3,87,1002
2014-02-17T11:20:00,7,66,1007
2014-02-17T04:50:00,3,81,1003
2014-02-17T10:50:00,7,66,1007
2014-02-17T04:00:00,3,74,1003
2014-02-17T03:20:00,3,81,1002
2014-02-17T04:20:00,3,81,1002
2014-02-17T23:20:00,1,87,1013
2014-02-17T20:20:00,2,81,1012
2014-02-17T07:20:00,3,81,1004
2014-02-17T20:00:00,3,70,1013
2014-02-17T07:00:00,3,79,1004
2014-02-17T07:50:00,3,81,1004
2014-02-17T09:50:00,5,76,1006
2014-02-17T06:50:00,3,81,1004
2014-02-17T06:20:00,3,81,1003
2014-02-17T06:00:00,3,73,1004
2014-02-17T19:20:00,3,81,1012
2014-02-17T23:00:00,1,82,1014
2014-02-17T12:00:00,8,49,1008
2014-02-17T20:50:00,2,81,1013
2014-02-17T19:00:00,3,69,1012
2014-02-17T10:00:00,6,63,1007
2014-02-17T08:00:00,3,75,1005
2014-02-17T08:20:00,3,87,1005
2014-02-17T21:20:00,2,81,1013
2014-02-17T21:50:00,2,87,1013
2014-02-17T13:00:00,7,51,1009
2014-02-17T05:00:00,3,78,1004
2014-02-17T13:20:00,8,57,1008
2014-02-17T05:20:00,3,81,1003
2014-02-17T05:50:00,3,81,1003
2014-02-17T00:50:00,3,87,1001
2014-02-17T09:20:00,5,76,1006
2014-02-17T01:50:00,3,87,1002
2014-02-17T18:50:00,3,75,1012
2014-02-17T03:00:00,3,74,1003
2014-02-17T02:20:00,3,87,1002
2014-02-17T14:50:00,8,53,1009
2014-02-17T02:00:00,3,77,1002
2014-02-17T18:00:00,4,57,1012
2014-02-17T17:00:00,6,42,1011
2014-02-17T10:20:00,6,70,1006
2014-02-17T17:20:00,6,57,1011
2014-02-17T09:00:00,4,73,1006
2014-02-17T14:20:00,7,61,1009
2014-02-17T11:00:00,7,57,1007
2014-02-17T08:50:00,4,81,1005
2014-02-17T14:00:00,7,48,1010
2014-02-17T17:50:00,5,65,1011
2014-02-17T15:50:00,8,53,1010
2014-02-17T15:20:00,8,53,1009
2014-02-17T03:50:00,3,81,1002
2014-02-17T15:00:00,8,41,1010
2014-02-18T08:50:00,5,93,1012
2014-02-18T05:50:00,3,93,1013
2014-02-18T14:00:00,6,75,1011
2014-02-18T11:00:00,6,87,1013
2014-02-18T05:00:00,3,87,1014
2014-02-18T19:50:00,5,87,1008
2014-02-18T05:20:00,3,93,1013
2014-02-18T02:00:00,2,87,1014
2014-02-18T14:50:00,7,76,1010
2014-02-18T20:50:00,5,87,1008
2014-02-18T03:00:00,2,88,1014
2014-02-18T15:50:00,6,81,1010
2014-02-18T19:20:00,5,87,1008
2014-02-18T07:50:00,4,93,1012
2014-02-18T07:20:00,4,93,1012
2014-02-18T01:50:00,2,87,1014
2014-02-18T07:00:00,4,90,1013
2014-02-18T17:50:00,6,81,1009
2014-02-18T18:50:00,5,87,1009
2014-02-18T18:20:00,6,81,1009
2014-02-18T00:00:00,1,85,1014
2014-02-18T14:20:00,6,81,1011
2014-02-18T08:00:00,4,90,1013
2014-02-18T15:00:00,6,71,1010
2014-02-18T11:20:00,6,87,1012
2014-02-18T03:50:00,3,87,1014
2014-02-18T11:50:00,6,87,1012
2014-02-18T16:00:00,6,73,1010
2014-02-18T04:00:00,3,88,1014
2014-02-18T16:20:00,6,81,1009
2014-02-18T04:20:00,3,93,1013
2014-02-18T04:50:00,3,93,1013
2014-02-18T18:00:00,6,78,1009
2014-02-18T20:20:00,5,87,1008
2014-02-18T09:00:00,5,93,1013
2014-02-18T09:20:00,5,93,1012
2014-02-18T17:20:00,6,81,1009
2014-02-18T03:20:00,2,93,1014
2014-02-18T12:50:00,6,87,1011
2014-02-18T02:50:00,2,93,1014
2014-02-18T20:00:00,5,85,1008
2014-02-18T12:00:00,6,87,1012
2014-02-18T12:20:00,6,87,1012
2014-02-18T08:20:00,4,100,1012
2014-02-18T21:50:00,5,87,1008
2014-02-18T21:20:00,5,87,1008
2014-02-18T21:00:00,5,81,1008
2014-02-18T22:20:00,6,81,1008
2014-02-18T10:50:00,6,87,1012
2014-02-18T10:20:00,5,93,1012
2014-02-18T16:50:00,6,81,1009
2014-02-18T10:00:00,5,91,1012
2014-02-18T00:50:00,2,93,1014
2014-02-18T17:00:00,6,76,1010
2014-02-18T15:20:00,6,81,1010
2014-02-18T02:20:00,2,93,1014
2014-02-18T06:20:00,4,87,1013
2014-02-18T06:00:00,3,89,1014
2014-02-18T22:50:00,5,87,1007
2014-02-18T06:50:00,4,93,1013
2014-02-18T01:00:00,2,87,1014
2014-02-18T13:00:00,6,82,1012
2014-02-18T01:20:00,2,93,1014
2014-02-18T13:20:00,6,87,1011
2014-02-18T13:50:00,6,81,1011
2014-02-18T22:00:00,5,80,1008
2014-02-18T23:50:00,5,87,1007
2014-02-18T19:00:00,5,78,1009
2014-02-18T23:00:00,5,83,1008
2014-02-18T09:50:00,5,93,1012
2014-02-18T23:20:00,5,87,1007
2014-02-18T00:20:00,2,87,1014
2014-02-19T17:50:00,7,81,1006
2014-02-19T05:20:00,5,93,1005
2014-02-19T01:20:00,5,87,1007
2014-02-19T01:00:00,5,86,1007
2014-02-19T21:50:00,6,87,1007
2014-02-19T01:50:00,5,87,1007
2014-02-19T06:00:00,5,86,1006
2014-02-19T14:00:00,8,80,1006
2014-02-19T06:20:00,5,93,1005
2014-02-19T14:20:00,8,81,1006
2014-02-19T14:50:00,8,81,1006
2014-02-19T22:50:00,5,93,1007
2014-02-19T19:00:00,6,80,1007
2014-02-19T20:50:00,6,87,1007
2014-02-19T19:20:00,6,87,1007
2014-02-19T20:00:00,6,83,1007
2014-02-19T17:00:00,7,75,1007
2014-02-19T20:20:00,6,87,1007
2014-02-19T07:20:00,5,93,1005
2014-02-19T13:20:00,7,93,1006
2014-02-19T02:50:00,5,93,1006
2014-02-19T12:50:00,7,87,1006
2014-02-19T02:00:00,5,85,1007
2014-02-19T02:20:00,5,87,1006
2014-02-19T04:50:00,5,93,1005
2014-02-19T00:50:00,5,87,1007
2014-02-19T00:20:00,5,87,1007
2014-02-19T06:50:00,5,93,1005
2014-02-19T00:00:00,5,81,1008
2014-02-19T21:00:00,6,84,1008
2014-02-19T10:50:00,6,93,1006
2014-02-19T07:00:00,5,87,1006
2014-02-19T18:50:00,6,87,1007
2014-02-19T21:20:00,6,87,1007
2014-02-19T12:20:00,7,87,1006
2014-02-19T23:20:00,5,87,1007
2014-02-19T16:20:00,8,81,1006
2014-02-19T16:00:00,8,74,1006
2014-02-19T05:50:00,5,93,1005
2014-02-19T16:50:00,7,81,1006
2014-02-19T11:00:00,6,88,1006
2014-02-19T03:00:00,5,87,1007
2014-02-19T11:20:00,6,93,1006
2014-02-19T03:20:00,5,93,1006
2014-02-19T03:50:00,5,93,1006
2014-02-19T18:00:00,7,78,1007
2014-02-19T19:50:00,6,87,1007
2014-02-19T10:20:00,6,93,1006
2014-02-19T04:20:00,5,93,1006
2014-02-19T15:50:00,8,81,1006
2014-02-19T04:00:00,5,89,1006
2014-02-19T23:00:00,5,85,1008
2014-02-19T15:00:00,8,74,1006
2014-02-19T23:50:00,5,87,1007
2014-02-19T15:20:00,8,81,1006
2014-02-19T12:00:00,6,90,1006
2014-02-19T05:00:00,5,89,1006
2014-02-19T22:20:00,6,87,1008
2014-02-19T13:00:00,7,88,1006
2014-02-19T22:00:00,6,87,1008
2014-02-19T13:50:00,8,87,1006
2014-02-19T09:20:00,6,87,1006
2014-02-19T09:00:00,5,88,1006
2014-02-19T17:20:00,7,81,1006
2014-02-19T11:50:00,6,93,1006
2014-02-19T09:50:00,6,93,1006
2014-02-19T07:50:00,5,93,1005
2014-02-19T18:20:00,6,87,1007
2014-02-19T08:50:00,5,93,1006
2014-02-19T08:20:00,5,93,1005
2014-02-19T10:00:00,6,90,1006
2014-02-19T08:00:00,5,86,1006
2014-02-20T08:20:00,5,87,1007
2014-02-20T11:50:00,6,87,1007
2014-02-20T08:00:00,4,88,1008
2014-02-20T11:00:00,6,85,1008
2014-02-20T13:00:00,6,85,1007
2014-02-20T11:20:00,6,87,1007
2014-02-20T03:20:00,5,87,1008
2014-02-20T06:50:00,5,87,1007
2014-02-20T06:00:00,5,86,1008
2014-02-20T01:20:00,5,93,1007
2014-02-20T06:20:00,5,93,1007
2014-02-20T05:20:00,5,93,1007
2014-02-20T05:00:00,5,90,1008
2014-02-20T13:20:00,6,87,1006
2014-02-20T15:50:00,6,93,1004
2014-02-20T05:50:00,5,93,1007
2014-02-20T17:50:00,6,87,1003
2014-02-20T04:50:00,5,93,1007
2014-02-20T04:20:00,5,93,1007
2014-02-20T14:00:00,6,85,1006
2014-02-20T04:00:00,5,90,1008
2014-02-20T23:00:00,6,86,1001
2014-02-20T09:20:00,5,93,1008
2014-02-20T00:50:00,5,87,1007
2014-02-20T09:00:00,5,90,1008
2014-02-20T17:20:00,6,87,1003
2014-02-20T20:00:00,6,76,1003
2014-02-20T10:00:00,5,89,1008
2014-02-20T20:20:00,7,81,1002
2014-02-20T10:20:00,6,93,1007
2014-02-20T10:50:00,6,93,1007
2014-02-20T21:50:00,6,87,1001
2014-02-20T01:50:00,5,93,1007
2014-02-20T07:00:00,5,89,1008
2014-02-20T17:00:00,6,82,1004
2014-02-20T07:20:00,4,93,1007
2014-02-20T07:50:00,5,87,1007
2014-02-20T02:50:00,5,93,1008
2014-02-20T22:00:00,6,83,1001
2014-02-20T21:20:00,6,87,1001
2014-02-20T03:50:00,5,93,1008
2014-02-20T16:50:00,6,87,1004
2014-02-20T08:50:00,5,87,1008
2014-02-20T00:20:00,4,93,1007
2014-02-20T19:50:00,6,87,1002
2014-02-20T00:00:00,4,88,1008
2014-02-20T19:00:00,6,81,1003
2014-02-20T19:20:00,6,87,1003
2014-02-20T20:50:00,7,81,1001
2014-02-20T22:50:00,6,87,1000
2014-02-20T14:50:00,6,93,1005
2014-02-20T23:50:00,5,93,1000
2014-02-20T21:00:00,6,77,1002
2014-02-20T09:50:00,5,93,1008
2014-02-20T16:20:00,6,87,1004
2014-02-20T18:20:00,6,87,1003
2014-02-20T03:00:00,5,90,1008
2014-02-20T12:20:00,6,93,1007
2014-02-20T22:20:00,6,87,1001
2014-02-20T12:00:00,6,84,1008
2014-02-20T12:50:00,6,87,1007
2014-02-20T01:00:00,5,86,1008
2014-02-20T15:00:00,6,86,1006
2014-02-20T15:20:00,6,93,1005
2014-02-20T13:50:00,6,87,1006
2014-02-20T02:00:00,5,89,1008
2014-02-20T18:00:00,6,80,1004
2014-02-20T02:20:00,5,93,1007
2014-02-20T16:00:00,6,85,1005
2014-02-20T18:50:00,6,87,1003
2014-02-20T23:20:00,5,93,1000
2014-02-20T14:20:00,6,93,1006
2014-02-21T05:00:00,6,91,997
2014-02-21T23:00:00,4,76,1003
2014-02-21T05:20:00,6,93,997
2014-02-21T12:00:00,8,64,1000
2014-02-21T08:00:00,7,89,998
2014-02-21T12:20:00,8,71,999
